Santa Cruz;Parque Nacional Monte León;2004;Región Patagonia Austral;62169;-50.31667;-68.97287;Ley Nacional 25.945/04;Estepa Patagónica;-;377;159;0;0;218
Santa Cruz;Parque Nacional Perito Moreno;1937;Región Patagonia Austral;142120;-47.88697;-72.25014;Decreto Nacional 105.433/37;Bosques Patagónicos, Estepa Patagónica;-;591;193;0;1;397
Santa Cruz;Parque Interjurisdiccional Marino Makenke;2012;Región Patagonia Austral;72673;-49.54806;-67.62472;Ley Nacional 26.817/12;Mar Argentino;-;180;172;0;0;8
Santa Cruz;Parque Interjurisdiccional Marino Isla Pingüino;2012;Región Patagonia Austral;159526;-48.15;-65.94458;Ley Nacional 26.818/12;Mar Argentino;-;10;10;0;0;0
Santa Cruz;Parque Nacional Patagonia;2015;Región Patagonia Austral;106424;-47.15918;-71.31701;Ley Nacional y Decreto Nacional L.N. 27.081/15, D.N. 838/18;Estepa Patagónica;-;270;62;0;0;208
Santa Fe;Parque Nacional Islas de Santa Fe;2010;Región Centro Este;4096;-32.27913;-60.72;Ley Nacional 26.648/10;Delta e Islas del Paraná;Sitio RAMSAR;390;149;0;0;241
Santiago Del Estero;Parque Nacional Copo;2000;Región Noroeste;118119;-25.82089;-61.88005;Ley Nacional 25.366/00;Chaco Seco;-;831;566;0;31;233
Tierra Del Fuego;Parque Nacional Tierra del Fuego;1960;Región Patagonia Austral;68909;-54.64226;-68.48597;Ley Nacional 15.554/60;Bosques Patagónicos;-;692;217;0;60;415
Tierra Del Fuego;Reserva Natural Silvestre Isla de los Estados y Archipiélago de Año  Nuevo;2016;Región Patagonia Austral;52784;-54.76715;-64.27798;Decreto Nacional 929/16;Bosques Patagónicos;-;0;0;0;0;0
Tucuman;Parque Nacional Aconquija;2018;Región Noroeste;93313;-27.19383;-65.95758;Ley Nacional 24.526/95 - 26.630/10 - 27.451/18 - 27.697/22;Altos Andes, Yungas;Sitio de Patrimonio Mundial;959;507;0;48;404
